Id de evento;Tipo;Fecha Evento;Título evento;Descripcion y Resumen Evento;Categorias;Subcategorias;Doble/Multiple Afectacion;Resolucion 1612;Resolucion 1820;Departmento;Municipio;Latitud;Longitud;Numero de afectados;Genero;Familia;Ocupacion;Etnia;Grupo poblacional;Edad;Estado;Condicion;Fecha de fuente;Tipo de fuente;Nombre de fuente;Fuente
11;Violencia;2024-01-02T00:00:00;Asesinaron a maestra que fue nombrada en un panfleto en Sabanagrande, Atlántico;.Atlántico-Sabanagrande-martes 2 enero 2024;Ataques contra la población civil;Homicidio intencional en persona protegida;No;No;No;Atlántico;Sabanagrande;10.79027778;-74.75555556;1;Femenino;0;Maestro(a);Sin información;Sin información;Sin información;Muerto;Desconocido;45293;Prensa;El Heraldo;https://www.elespectador.com/colombia/barranquilla/asesinaron-a-maestra-que-fue-nombrada-en-un-panfleto-en-sabanagrande-atlantico/
12;Violencia;2024-01-01T00:00:00;Se presentaron dos homicidios en Soledad, Atlántico. Las víctimas Bertulio Armando Vargas Narváez  y su hijo Boris Armado Vargas Yepez.;.Atlántico-Soledad-lunes 1 enero 2024;Ataques contra la población civil;Homicidio intencional en persona protegida;No;No;No;Atlántico;Soledad;10.90972222;-74.78583333;2;Masculino;0;Sin Información;Sin información;Sin información;Mayor de 18 años;Muerto;Desconocido;45292;Prensa;El Heraldo;https://www.elheraldo.co/judicial/primer-caso-de-sicariato-de-2024-suma-muerte-de-padre-hijo-en-soledad-1059309
13;Violencia;2024-01-04T00:00:00;Asesinan a lider social en Amagá, Antioquia;.Antioquia-Amalfi-jueves 4 enero 2024;Acciones armadas;Combates;No;No;No;Antioquia;El Bagre;7.604722222;-74.80861111;1;Masculino;0;Combatiente;Sin información;Sin información;Mayor de 18 años;Muerto;Actor Armado no Estatal;45296;Radio;Caracol;https://caracol.com.co/2024/01/05/asesinan-a-un-lider-social-del-suroeste-de-antioquia/
14;Violencia;2024-01-04T00:00:00;Asesinan a lider social en Amagá, Antioquia;.Antioquia-Amalfi-jueves 4 enero 2024;Ataques contra la población civil;Homicidio intencional en persona protegida;No;No;No;Antioquia;Amagá;6.038333333;-75.70277778;1;Masculino;0;Lider(esa) Social;Sin información;Población en general;Mayor de 18 años;Muerto;Civil;45296;Radio;Caracol;https://caracol.com.co/2024/01/05/asesinan-a-un-lider-social-del-suroeste-de-antioquia/
15;Violencia;2024-01-05T00:00:00;Asesinan a lider social en Andes, Antioquia;.Antioquia-Andes-viernes 5 enero 2024;Ataques contra la población civil;Desaparición forzada;No;No;No;Antioquia;Andes;5.655555556;-75.88027778;1;Masculino;0;Desconocida;Sin información;Población en general;Mayor de 18 años;No aplica;Civil;45297;Radio;Blu Radio;https://www.bluradio.com/regiones/antioquia/asesinan-a-un-segundo-lider-social-en-antioquia-en-menos-de-24-horas-rg10
16;Violencia;2024-01-05T00:00:00;Asesinan a lider social en Andes, Antioquia;.Antioquia-Andes-viernes 5 enero 2024;Ataques contra la población civil;Homicidio intencional en persona protegida;No;No;No;Antioquia;Andes;5.655555556;-75.88027778;1;Masculino;0;Lider(esa) Social;Sin información;Población en general;Mayor de 18 años;Muerto;Civil;45297;Radio;Blu Radio;https://www.bluradio.com/regiones/antioquia/asesinan-a-un-segundo-lider-social-en-antioquia-en-menos-de-24-horas-rg10
17;Violencia;2024-01-05T00:00:00;Un grupo fuertemente armado hace presencia en la vereda El Diamante de Segovia, Antioquia;.Antioquia-Segovia-viernes 5 enero 2024;Acciones armadas;Incursión;No;No;No;Antioquia;Segovia;7.078055556;-74.70166667;0;Desconocido;0;No Aplica;Sin información;Sin información;Sin información;No aplica;Desconocido;45296;Sociedad Civil;Sin información;https://twitter.com/FunSumapazref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor
18;Violencia;2024-01-08T00:00:00;Combates entre el Estado Mayor Central y la fuerza pública en Toledo, Antioquia;.Antioquia-Toledo-lunes 8 enero 2024;Acciones armadas;Combates;No;No;No;Antioquia;Toledo;7.010277778;-75.70166667;1;Masculino;0;Combatiente;Sin información;Población en general;Mayor de 18 años;Muerto;Actor Armado no Estatal;45299;Radio;Blu Radio;https://www.bluradio.com/regiones/antioquia/un-muerto-y-tres-heridos-dejo-combates-entre-el-ejercito-contra-grupo-armado-en-toledo-antioquia-rg10
19;Violencia;2024-01-08T00:00:00;Combates entre el Estado Mayor Central y la fuerza pública en Toledo, Antioquia;.Antioquia-Toledo-lunes 8 enero 2024;Acciones armadas;Combates;No;No;No;Antioquia;Toledo;7.010277778;-75.70166667;3;Masculino;0;Combatiente;Sin información;Población en general;Mayor de 18 años;Herido;Actor Armado no Estatal;45299;Radio;Blu Radio;https://www.bluradio.com/regiones/antioquia/un-muerto-y-tres-heridos-dejo-combates-entre-el-ejercito-contra-grupo-armado-en-toledo-antioquia-rg10
20;Violencia;2024-01-07T00:00:00;Miembros de las AGC incursionan en ;.Antioquia-Apartadó-domingo 7 enero 2024;Ataques contra la población civil;Amenazas (individuales/colectivas);No;No;No;Antioquia;Apartadó;7.884722222;-76.635;60;Desconocido;0;No Aplica;Sin información;Población en general;Desconocido;No aplica;Civil;45298;Sociedad Civil;Comunidad de paz de San josé de Apartadó;https://twitter.com/i/flow/login?redirect_after_login=%2Fi%2Fflow%2Flogin
21;Violencia;2024-01-07T00:00:00;Una mujer fue asesinada de 14 disparos en Girardota, Antioquia;.Antioquia-Girardota-domingo 7 enero 2024;Ataques contra la población civil;Homicidio intencional en persona protegida;No;No;No;Antioquia;Girardota;6.376944444;-75.44611111;1;Femenino;0;Desconocida;Sin información;Población en general;Mayor de 18 años;Muerto;Actor Armado no Estatal;45298;Prensa;Alerta Paisa;https://www.alertapaisa.com/noticias/valle-de-aburra/mujer-es-asesinada-mientras-tanqueaba-su-vehiculo-en-girardota-antioquia
22;Violencia;2024-01-06T00:00:00;Hayan cuerpo sin vida en el Río Medelllín;.Antioquia-Medellín-sábado 6 enero 2024;Ataques contra la población civil;Homicidio intencional en persona protegida;No;No;No;Antioquia;Medellín;6.244747222;-75.57482778;1;Masculino;0;Desconocida;Sin información;Sin información;Sin información;Muerto;Desconocido;45297;Prensa;Alerta Paisa;https://www.alertapaisa.com/noticias/valle-de-aburra/hallan-cuerpo-en-el-rio-medellin-el-primero-en-lo-que-va-de-2024
23;Violencia;2024-01-03T00:00:00;Un adulto mayor fue asesinado por un grupo de personas en Medellín;.Antioquia-Medellín-miércoles 3 enero 2024;Ataques contra la población civil;Homicidio intencional en persona protegida;No;No;No;Antioquia;Medellín;6.244747222;-75.57482778;1;Masculino;0;Desconocida;Sin información;Población en general;Mayor de 18 años;Muerto;Civil;45296;Prensa;minuto30.com;https://www.minuto30.com/hombre-murio-tras-ser-linchado-por-la-comunidad-en-el-doce-de-octubre/1554209/
24;Violencia;2024-01-07T00:00:00;Asesinan a migrante venezolano en el barrio Belen, Medellín;.Antioquia-Medellín-domingo 7 enero 2024;Ataques contra la población civil;Homicidio intencional en persona protegida;No;No;No;Antioquia;Medellín;6.244747222;-75.57482778;1;Masculino;0;Desconocida;Sin información;Extranjero - Refugiado y Migrante (Venezolano);Mayor de 18 años;Muerto;Desconocido;45298;Prensa;minuto30.com;https://www.minuto30.com/en-via-publica-de-belen-fue-asesinado-a-tiros-hombre-de-22-anos/1554885/
25;Violencia;2024-01-06T00:00:00;Disparan contra vehículo dejando 2 personas heridas en Medellín;.Antioquia-Medellín-sábado 6 enero 2024;Ataques contra la población civil;Atentado;No;No;No;Antioquia;Medellín;6.244747222;-75.57482778;2;Desconocido;0;Sin Información;Sin información;Población en general;Mayor de 18 años;Herido;Civil;45297;Prensa;minuto30.com;https://www.minuto30.com/atacan-a-bala-vehiculo-por-pilarica-dos-heridos/1554724/
26;Violencia;2024-01-07T00:00:00;Asesinan a un hombre en Itaguí, Antioquia;.Antioquia-Itagüí-domingo 7 enero 2024;Ataques contra la población civil;Homicidio intencional en persona protegida;No;No;No;Antioquia;Itagüí;6.1726;-75.6096;1;Masculino;0;Desconocida;Sin información;Población en general;Mayor de 18 años;Muerto;Civil;45298;Prensa;minuto30.com;https://www.minuto30.com/tres-asesinatos-se-registraron-el-7-de-enero-en-el-area-metropolitana/1555232/
27;Violencia;2024-01-03T00:00:00;Hombre quedó herido tras recibir un disparo en su cabeza en el barrio Trinidad, Medellín.;.Antioquia-Medellín-miércoles 3 enero 2024;Ataques contra la población civil;Homicidio intencional en persona protegida;No;No;No;Antioquia;Medellín;6.244747222;-75.57482778;1;Masculino;0;Desconocida;Sin información;Población en general;Mayor de 18 años;Herido;Civil;45295;Prensa;minuto30.com;https://www.minuto30.com/hombre-recibio-un-disparo-en-la-cabeza-barrio-trinidad/1553629/
28;Violencia;2024-01-06T00:00:00;Asesinan a un hombre con arma de fuego en Amalfí, Antioquia;.Antioquia-Amalfi-sábado 6 enero 2024;Ataques contra la población civil;Homicidio intencional en persona protegida;No;No;No;Antioquia;Amalfi;6.909166667;-75.07666667;1;Masculino;0;Desconocida;Sin información;Población en general;Mayor de 18 años;Muerto;Civil;45298;Entidad Pública;Gobernacíón;Informe diario de homicidios
29;Violencia;2024-01-05T00:00:00;Asesinan a migrante venezolano en Cisneros, Antioquia;.Antioquia-Cisneros-viernes 5 enero 2024;Ataques contra la población civil;Homicidio intencional en persona protegida;No;No;No;Antioquia;Cisneros;6.538333333;-75.08861111;1;Masculino;0;Desconocida;Sin información;Extranjero - Refugiado y Migrante (Venezolano);Mayor de 18 años;Muerto;Civil;45297;Entidad Pública;Gobernacíón;Informe diario de homicidios
30;Violencia;2024-01-06T00:00:00;De varios tiros asesinan a joven en zona rural de Riohacha;.La Guajira-Riohacha-sábado 6 enero 2024;Ataques contra la población civil;Tortura;No;No;No;La Guajira;Riohacha;11.54416667;-72.90694444;1;Masculino;0;Transportador(a);Sin información;Sin información;Mayor de 18 años;Muerto;Desconocido;45297;Prensa;La Guajira Hoy;https://laguajirahoy.com/judiciales/de-varios-tiros-asesinan-a-joven-en-zona-rural-de-riohacha.html
31;Violencia;2024-01-07T00:00:00;Hallan cadáver baleado en el rostro y la espalda en la población de Perico, zona rural de Riohacha;.La Guajira-Riohacha-domingo 7 enero 2024;Ataques contra la población civil;Homicidio intencional en persona protegida;No;No;No;La Guajira;Riohacha;11.54416667;-72.90694444;1;Masculino;0;Sin Información;Sin información;Sin información;Mayor de 18 años;Muerto;Desconocido;45297;Prensa;Sin Información;Sin Enlace
32;Violencia;2024-01-08T00:00:00;Masacre de tres personas en la cabecera de la Hormiga, Putumayo;.Putumayo-Valle Del Guamuez-lunes 8 enero 2024;Ataques contra la población civil;Atentado;No;No;No;Putumayo;Valle del Guamuez;0.425277778;-76.90527778;1;Masculino;0;Sin Información;Sin información;Sin información;Mayor de 18 años;Herido;Desconocido;45299;Prensa;Prisma Visión Putumayo;https://www.facebook.com/photo/?fbid=768480138650381&set=a.463081012523630
33;Violencia;2024-01-08T00:00:00;Masacre de tres personas en la cabecera de la Hormiga, Putumayo;.Putumayo-Valle Del Guamuez-lunes 8 enero 2024;Ataques contra la población civil;Masacre (homicidio colectivo);No;No;No;Putumayo;Valle del Guamuez;0.425277778;-76.90527778;3;Masculino;0;Desconocida;Sin información;Sin información;Mayor de 18 años;Muerto;Desconocido;45299;Prensa;Prisma Visión Putumayo;https://www.facebook.com/photo/?fbid=768480138650381&set=a.463081012523630
34;Violencia;2024-01-08T00:00:00;Homicidio en vereda Planadas en Puerto Asís, Putumayo;.Putumayo-Puerto Asís-lunes 8 enero 2024;Ataques contra la población civil;Homicidio intencional en persona protegida;No;No;No;Putumayo;Puerto Asís;0.500555556;-76.49888889;1;Masculino;0;Sin Información;Sin información;Sin información;Mayor de 18 años;Muerto;Desconocido;45299;Prensa;Prisma Visión Putumayo;https://www.facebook.com/photo/?fbid=122138658602071203&set=a.122099017952071203
35;Violencia;2024-01-03T00:00:00;Masacre en Linares-Nariño;.Nariño-Linares-martes 2 enero 2024;Ataques contra la población civil;Masacre (homicidio colectivo);No;Si;No;Nariño;Linares;1.35;-77.533333;1;Desconocido;0;Sin Información;Sin información;Sin información;Menor de 18 años;Muerto;Civil;45294;TV;Caracol Noticias;Sin Enlace
36;Violencia;2024-01-03T00:00:00;Masacre en Linares-Nariño;.Nariño-Linares-martes 2 enero 2024;Ataques contra la población civil;Masacre (homicidio colectivo);No;Si;No;Nariño;Linares;1.35;-77.533333;1;Femenino;0;Sin Información;Sin información;Sin información;Mayor de 18 años;Muerto;Civil;45294;TV;Caracol Noticias;Sin Enlace
37;Violencia;2024-01-03T00:00:00;Masacre en Linares-Nariño;.Nariño-Linares-martes 2 enero 2024;Ataques contra la población civil;Masacre (homicidio colectivo);No;Si;No;Nariño;Linares;1.35;-77.533333;2;Masculino;0;Sin Información;Sin información;Sin información;Mayor de 18 años;Muerto;Civil;45294;TV;Caracol Noticias;Sin Enlace
38;Violencia;2024-01-06T00:00:00;Dos mujeres fueron asesinadas en la vía hacia La Playa en Puerto Asís, Putumayo;.Putumayo-Puerto Asís-domingo 7 enero 2024;Ataques contra la población civil;Homicidio intencional en persona protegida;No;No;No;Putumayo;Puerto Asís;0.500555556;-76.49888889;2;Femenino;0;Sin Información;Sin información;Sin información;Mayor de 18 años;Muerto;Desconocido;45297;Prensa;Conexión Putumayo;https://conexionputumayo.com/sin-identificar-permanecen-los-cuerpos-de-2-mujeres-asesinadas-a-tiros-en-puerto-asis/
39;Violencia;2024-01-07T00:00:00;Atentado contra alcalde electo del municipio de Tumaco en municipio de Magüí-Nariño;.Nariño-Magui-domingo 7 enero 2024;Ataques contra la población civil;Atentado;No;No;No;Nariño;Magüí Payán;1.765833333;-78.18277778;1;Masculino;0;Alcalde;Sin información;Sin información;Mayor de 18 años;Desconocido;Desconocido;45298;Prensa;El Tiempo;Sin Enlace
40;Violencia;2024-01-05T00:00:00;Homicidio de un hombre en la vía al Loro Uno en La Hormiga, Putumayo;.Putumayo-Valle Del Guamuez-viernes 5 enero 2024;Ataques contra la población civil;Homicidio intencional en persona protegida;No;No;No;Putumayo;Valle del Guamuez;0.425277778;-76.90527778;1;Masculino;0;Sin Información;Sin información;Sin información;Mayor de 18 años;Muerto;Desconocido;45296;Prensa;Prisma Visión Putumayo;https://www.facebook.com/photo/?fbid=767699538728441&set=a.463081012523630
41;Violencia;2024-01-06T00:00:00;Homicidio de un hombre en la vereda Nueva Risaralda en San Miguel, Putumayo;.Putumayo-San Miguel-sábado 6 enero 2024;Ataques contra la población civil;Homicidio intencional en persona protegida;No;No;No;Putumayo;San Miguel;0.343611111;-76.91083333;1;Masculino;0;Transportador(a);Sin información;Población en general;Mayor de 18 años;Muerto;Civil;45297;Prensa;Mi Putumayo;https://www.facebook.com/photo?fbid=122138323610071203&set=a.122099017952071203
42;Violencia;2024-01-09T00:00:00;Asesinan a un hombre en Ciudad Bolívar, suroeste de  Antioquia;.Antioquia-Ciudad Bolívar-martes 9 enero 2024;Ataques contra la población civil;Homicidio intencional en persona protegida;No;No;No;Antioquia;Ciudad Bolívar;5.849444444;-76.02027778;1;Masculino;0;Campesino(a) / Agricultor(a);Sin información;Extranjero - Refugiado y Migrante (Venezolano);Mayor de 18 años;Muerto;Civil;45300;Prensa;Alerta Paisa;https://www.alertapaisa.com/noticias/antioquia/sicarios-asesinaron-un-recolector-de-cafe-en-ciudad-bolivar
43;Violencia;2024-01-03T00:00:00;Homicidio de un hombre venezolano en La Hormiga en Putumayo ;Homicidio intencional en persona protegida.Putumayo-Valle Del Guamuez-miércoles 3 enero 2024;Ataques contra la población civil;Homicidio intencional en persona protegida;No;No;No;Putumayo;Valle del Guamuez;0.425277778;-76.90527778;1;Masculino;0;Desconocida;Sin información;Extranjero - Refugiado y Migrante (Venezolano);Mayor de 18 años;Muerto;Desconocido;45294;Prensa;Conexión Putumayo;https://www.facebook.com/photo/?fbid=122137465478071203&set=a.122099017952071203
44;Violencia;2024-01-09T00:00:00;Grupo armado genera hurto masivo en zona rural de Concordia, Antioquia ;.Antioquia-Concordia-martes 9 enero 2024;Acciones armadas;Bloqueo de vías y/o Retén ilegal;No;No;No;Antioquia;Concordia;6.045555556;-75.9075;4;Desconocido;0;Otro;Sin información;Población en general;Mayor de 18 años;No aplica;Civil;45300;Prensa;Alerta Paisa;https://www.alertapaisa.com/noticias/antioquia/con-palos-y-armas-de-fuego-un-grupo-de-sujetos-robo-las-motos-y-las-pertenencias
45;Violencia;2024-01-01T00:00:00;Homicidio en el barrio El Puerto en Puerto Asis, Putumayo;Homicidio intencional en persona protegida.Putumayo-Puerto Asís-lunes 1 enero 2024;Ataques contra la población civil;Homicidio intencional en persona protegida;No;No;No;Putumayo;Puerto Asís;0.500555556;-76.49888889;1;Masculino;0;Desconocida;Sin información;Sin información;Mayor de 18 años;Muerto;Desconocido;45292;Prensa;Prisma Visión Putumayo;https://www.facebook.com/photo/?fbid=122136621686071203&set=a.122099017952071203
46;Violencia;2024-01-01T00:00:00;Homicidio en vereda El Cairo en La Hormiga, Putumayo.;Homicidio intencional en persona protegida.Putumayo-Valle Del Guamuez-lunes 1 enero 2024;Ataques contra la población civil;Homicidio intencional en persona protegida;No;No;No;Putumayo;Valle del Guamuez;0.425277778;-76.90527778;1;Masculino;0;Sin Información;Sin información;Sin información;Mayor de 18 años;Muerto;Desconocido;2024-01-01, 2024-01-01;Prensa, Prensa;Sin información, Conexión Putumayo;https://www.facebook.com/photo/?fbid=735456992023247&set=a.451791097056506, https://www.facebook.com/photo/?fbid=735456992023247&set=a.451791097056506
47;Violencia;2024-01-01T00:00:00;Asesinato de un hombre en casco urbano de Tame;.Arauca-Tame-lunes 1 enero 2024;Ataques contra la población civil;Homicidio intencional en persona protegida;No;No;No;Arauca;Tame;6.458333333;-71.74472222;1;Masculino;0;Sin Información;Sin información;Sin información;Mayor de 18 años;Muerto;Desconocido;45292;Prensa;La Prensa Araucana;https://www.facebook.com/photo?fbid=889728349824802&set=pcb.889728466491457
48;Violencia;2024-01-02T00:00:00;Continúan los secuestros en el piedemonte araucano. Este fin de semana se conocieron tres nuevos casos     ;.Arauca,Arauca-Saravena,Tame-martes 2 enero 2024;Ataques contra la población civil;Desaparición forzada;No;No;No;Arauca;Tame;6.458333333;-71.74472222;1;Femenino;0;Sin Información;Sin información;Sin información;Mayor de 18 años;Desconocido;Desconocido;45293;Prensa;La Voz del Cinaruco;Sin Enlace
49;Violencia;2024-01-02T00:00:00;Continúan los secuestros en el piedemonte araucano. Este fin de semana se conocieron tres nuevos casos     ;.Arauca,Arauca-Saravena,Tame-martes 2 enero 2024;Ataques contra la población civil;Secuestro;No;No;No;Arauca;Saravena;6.954722222;-71.87666667;2;Masculino;0;Sin Información;Sin información;Sin información;Mayor de 18 años;Desconocido;Desconocido;45293;Prensa;La Voz del Cinaruco;Sin Enlace
50;Violencia;2024-01-04T00:00:00;Ataque armado en El Bordo: dos muertos y un herido;.Cauca-Patía (El Bordo)-jueves 4 enero 2024;Ataques contra la población civil;Atentado;No;No;No;Cauca;Patía;2.114166667;-76.98305556;1;Femenino;0;Sin Información;Sin información;Población en general;Mayor de 18 años;Herido;Civil;45295;Prensa;periodicovirtual.com;https://periodicovirtual.com/ataque-armado-en-el-bordo-dos-muertos-y-un-herido/
51;Violencia;2024-01-04T00:00:00;Ataque armado en El Bordo: dos muertos y un herido;.Cauca-Patía (El Bordo)-jueves 4 enero 2024;Ataques contra la población civil;Atentado;No;No;No;Cauca;Patía;2.114166667;-76.98305556;2;Masculino;0;Otro;Sin información;Población en general;Mayor de 18 años;Muerto;Civil;45295;Prensa;periodicovirtual.com;https://periodicovirtual.com/ataque-armado-en-el-bordo-dos-muertos-y-un-herido/
52;Violencia;2024-01-05T00:00:00;Ejército Nacional recuperó a una menor que formaba parte del ELN en el Cauca;.Cauca-Totoró-viernes 5 enero 2024;Ataques contra la población civil;Desvinculación de menores de edad;No;Si;No;Cauca;Totoró;2.510277778;-76.40194444;1;Femenino;0;Otro;Sin información;Población en general;Menor de 18 años;No aplica;Civil;45296;Radio;La W;https://www.wradio.com.co/2024/01/05/ejercito-nacional-recupero-a-una-menor-que-formaba-parte-del-eln-en-el-cauca/ 
53;Violencia;2024-01-06T00:00:00;GANE asesina a joven indígena tras sacarlo de su vivienda;.Cauca-Silvia-sábado 6 enero 2024;Ataques contra la población civil;Homicidio intencional en persona protegida;No;No;No;Cauca;Silvia;2.610833333;-76.37888889;1;Masculino;0;Sin Información;Indígena-Desconocido;Población en general;Mayor de 18 años;Muerto;Civil;45297;Prensa;periodicovirtual.com;https://periodicovirtual.com/asesinan-a-joven-indigena-tras-sacarlo-de/
54;Violencia;2024-01-08T00:00:00;Doble homicidio en Cauca: una de las víctimas fue asesinada al interior de una ambulancia;.Cauca-Corinto-lunes 8 enero 2024;Restricción al acceso humanitario;Amenazas y violaciones encontra el personal humanitario y sus instalaciones;No;No;No;Cauca;Corinto;3.173888889;-76.25944444;4;Desconocido;0;Miembro de misión médica;Sin información;Población en general;Mayor de 18 años;No aplica;Civil;45299;Radio;La W;https://www.wradio.com.co/2024/01/09/doble-homicidio-en-cauca-una-de-las-victimas-fue-asesinada-al-interior-de-una-ambulancia/
55;Violencia;2024-01-08T00:00:00;Doble homicidio en Cauca: una de las víctimas fue asesinada al interior de una ambulancia;.Cauca-Corinto-lunes 8 enero 2024;Ataques contra la población civil;Homicidio intencional en persona protegida;No;No;No;Cauca;Corinto;3.173888889;-76.25944444;2;Masculino;0;Sin Información;Sin información;Población en general;Mayor de 18 años;Muerto;Civil;45299;Radio;La W;https://www.wradio.com.co/2024/01/09/doble-homicidio-en-cauca-una-de-las-victimas-fue-asesinada-al-interior-de-una-ambulancia/
56;Violencia;2024-01-09T00:00:00;Desmovilización de un hombre y recuperación de dos menores de edad en Florencia, Caquetá. ;.Caquetá-Florencia-martes 9 enero 2024;Ataques contra la población civil;Desvinculación de menores de edad;No;Si;No;Caquetá;Florencia;1.614166667;-75.61166667;2;Masculino;0;Combatiente;Sin información;No Aplica;Menor de 18 años;No aplica;Actor Armado no Estatal;45300;Prensa;Caqueta al día;https://fb.watch/puo-bzVliy/
